A,B
http://shakespeare.acropolis.org.uk/people/Lynn+Farleigh,http://dbpedia.org/resource/Lynn_Farleigh
http://shakespeare.acropolis.org.uk/people/John+Hollis,http://dbpedia.org/resource/John_Hollis
http://shakespeare.acropolis.org.uk/people/Neil+McCarthy,http://dbpedia.org/resource/Neil_McCarthy_(actor)
http://shakespeare.acropolis.org.uk/people/Eric+Barker,http://dbpedia.org/resource/Eric_Barker
http://shakespeare.acropolis.org.uk/people/Laurence+Olivier,http://dbpedia.org/resource/Laurence_Olivier
http://shakespeare.acropolis.org.uk/people/Nicholas+Farrell,http://dbpedia.org/resource/Nicholas_Farrell
http://shakespeare.acropolis.org.uk/people/Eric+Flynn,http://dbpedia.org/resource/Eric_Flynn
http://shakespeare.acropolis.org.uk/people/Mark+Hadfield,http://dbpedia.org/resource/Mark_Hadfield
http://dbpedia.org/resource/Tony_Garnett,http://shakespeare.acropolis.org.uk/people/Tony+Garnett
http://shakespeare.acropolis.org.uk/people/Bruce+Alexander,http://dbpedia.org/resource/Bruce_Alexander_(actor)
http://shakespeare.acropolis.org.uk/people/Margaret+Drabble,http://dbpedia.org/resource/Margaret_Drabble
http://shakespeare.acropolis.org.uk/people/Ishia+Bennison,http://dbpedia.org/resource/Ishia_Bennison
http://shakespeare.acropolis.org.uk/people/Jeremy+Young,http://dbpedia.org/resource/Jeremy_Young
http://shakespeare.acropolis.org.uk/people/Leonard+Fenton,http://dbpedia.org/resource/Leonard_Fenton
http://shakespeare.acropolis.org.uk/people/Carol+Ann+Duffy,http://dbpedia.org/resource/Carol_Ann_Duffy
http://shakespeare.acropolis.org.uk/people/Timothy+Walker,http://dbpedia.org/resource/Timothy_Walker_(actor)
http://shakespeare.acropolis.org.uk/people/Roy+Herrick,http://dbpedia.org/resource/Roy_Herrick
http://shakespeare.acropolis.org.uk/people/Gerard+McSorley,http://dbpedia.org/resource/Gerard_McSorley
http://shakespeare.acropolis.org.uk/people/William+Sylvester,http://dbpedia.org/resource/William_Sylvester
http://shakespeare.acropolis.org.uk/people/Joe+Gladwin,http://dbpedia.org/resource/Joe_Gladwin
http://shakespeare.acropolis.org.uk/people/John+Ogwen,http://dbpedia.org/resource/John_Ogwen
http://shakespeare.acropolis.org.uk/people/Robert+Glenister,http://dbpedia.org/resource/Robert_Glenister
http://shakespeare.acropolis.org.uk/people/Adrian+Noble,http://dbpedia.org/resource/Adrian_Noble
http://shakespeare.acropolis.org.uk/people/Philip+Locke,http://dbpedia.org/resource/Philip_Locke
http://shakespeare.acropolis.org.uk/people/Gerald+Cross,http://dbpedia.org/resource/Gerald_Cross
http://shakespeare.acropolis.org.uk/people/Ben+Miles,http://dbpedia.org/resource/Ben_Miles
http://shakespeare.acropolis.org.uk/people/Timothy+Spall,http://dbpedia.org/resource/Timothy_Spall
http://shakespeare.acropolis.org.uk/people/Richard+Wattis,http://dbpedia.org/resource/Richard_Wattis
http://shakespeare.acropolis.org.uk/people/Donald+Houston,http://dbpedia.org/resource/Donald_Houston
http://shakespeare.acropolis.org.uk/people/Adjoa+Andoh,http://dbpedia.org/resource/Adjoa_Andoh
http://dbpedia.org/resource/John_Bailey_(actor),http://shakespeare.acropolis.org.uk/people/John+Bailey
http://shakespeare.acropolis.org.uk/people/Michael+Spice,http://dbpedia.org/resource/Michael_Spice
http://shakespeare.acropolis.org.uk/people/Jeffery+Dench,http://dbpedia.org/resource/Jeffery_Dench
http://shakespeare.acropolis.org.uk/people/Sheila+Hancock,http://dbpedia.org/resource/Sheila_Hancock
http://shakespeare.acropolis.org.uk/people/Romolo+Valli,http://dbpedia.org/resource/Romolo_Valli
http://shakespeare.acropolis.org.uk/people/Rowan+Atkinson,http://dbpedia.org/resource/Rowan_Atkinson
http://shakespeare.acropolis.org.uk/people/Alan+Badel,http://dbpedia.org/resource/Alan_Badel
http://shakespeare.acropolis.org.uk/people/Jasmine+Hyde,http://dbpedia.org/resource/Jasmine_Hyde
http://shakespeare.acropolis.org.uk/people/Anne+Stallybrass,http://dbpedia.org/resource/Anne_Stallybrass
http://shakespeare.acropolis.org.uk/people/Godfrey+James,http://dbpedia.org/resource/Godfrey_James
http://shakespeare.acropolis.org.uk/people/Fred+Melamed,http://dbpedia.org/resource/Fred_Melamed
http://shakespeare.acropolis.org.uk/people/Elsie+Wagstaff,http://dbpedia.org/resource/Elsie_Wagstaff
http://shakespeare.acropolis.org.uk/people/Anthony+Jackson,http://dbpedia.org/resource/Anthony_Jackson_(actor)
http://shakespeare.acropolis.org.uk/people/Indira+Varma,http://dbpedia.org/resource/Indira_Varma
http://shakespeare.acropolis.org.uk/people/Peter+Whitbread,http://dbpedia.org/resource/Peter_Whitbread
http://shakespeare.acropolis.org.uk/people/Anton+Rodgers,http://dbpedia.org/resource/Anton_Rodgers
http://shakespeare.acropolis.org.uk/people/Samuel+West,http://dbpedia.org/resource/Samuel_West
http://shakespeare.acropolis.org.uk/people/Inigo+Jackson,http://dbpedia.org/resource/Inigo_Jackson
http://shakespeare.acropolis.org.uk/people/Elizabeth+Bradley,http://dbpedia.org/resource/Elizabeth_Bradley
http://shakespeare.acropolis.org.uk/people/Ronald+Allen,http://dbpedia.org/resource/Ronald_Allen
http://shakespeare.acropolis.org.uk/people/Walter+Brown,http://dbpedia.org/resource/Walter_Brown_(actor)
http://dbpedia.org/resource/Robert_Shaw_(actor),http://shakespeare.acropolis.org.uk/people/Robert+Shaw
http://shakespeare.acropolis.org.uk/people/Duncan+Carse,http://dbpedia.org/resource/Duncan_Carse
http://shakespeare.acropolis.org.uk/people/Denyse+Alexander,http://dbpedia.org/resource/Denyse_Alexander
http://shakespeare.acropolis.org.uk/people/Edward+Kelsey,http://dbpedia.org/resource/Edward_Kelsey
http://shakespeare.acropolis.org.uk/people/Richard+Beale,http://dbpedia.org/resource/Richard_Beale
http://shakespeare.acropolis.org.uk/people/Gary+Bond,http://dbpedia.org/resource/Gary_Bond
http://shakespeare.acropolis.org.uk/people/Simon+Callow,http://dbpedia.org/resource/Simon_Callow
http://shakespeare.acropolis.org.uk/people/Clive+Rowe,http://dbpedia.org/resource/Clive_Rowe
http://shakespeare.acropolis.org.uk/people/Michael+Siberry,http://dbpedia.org/resource/Michael_Siberry
http://shakespeare.acropolis.org.uk/people/Rosalind+Ayres,http://dbpedia.org/resource/Rosalind_Ayres
http://shakespeare.acropolis.org.uk/people/Joanne+Froggatt,http://dbpedia.org/resource/Joanne_Froggatt
http://shakespeare.acropolis.org.uk/people/Roland+Culver,http://dbpedia.org/resource/Roland_Culver
http://shakespeare.acropolis.org.uk/people/Olivia+Colman,http://dbpedia.org/resource/Olivia_Colman
http://shakespeare.acropolis.org.uk/people/Ian+Bannen,http://dbpedia.org/resource/Ian_Bannen
http://shakespeare.acropolis.org.uk/people/William+Simons,http://dbpedia.org/resource/William_Simons
http://dbpedia.org/resource/Alan_Howard,http://shakespeare.acropolis.org.uk/people/Alan+Howard
http://shakespeare.acropolis.org.uk/people/Joe+Marcell,http://dbpedia.org/resource/Joe_Marcell
http://shakespeare.acropolis.org.uk/people/John+Tusa,http://dbpedia.org/resource/John_Tusa
http://shakespeare.acropolis.org.uk/people/Cicely+Courtneidge,http://dbpedia.org/resource/Cicely_Courtneidge
http://shakespeare.acropolis.org.uk/people/Heron+Carvic,http://dbpedia.org/resource/Heron_Carvic
http://shakespeare.acropolis.org.uk/people/Tommy+Steele,http://dbpedia.org/resource/Tommy_Steele
http://shakespeare.acropolis.org.uk/people/Nicholas+Courtney,http://dbpedia.org/resource/Nicholas_Courtney
http://shakespeare.acropolis.org.uk/people/Linda+Marlowe,http://dbpedia.org/resource/Linda_Marlowe
http://shakespeare.acropolis.org.uk/people/Rhys+Ifans,http://dbpedia.org/resource/Rhys_Ifans
http://shakespeare.acropolis.org.uk/people/David+Westhead,http://dbpedia.org/resource/David_Westhead
http://shakespeare.acropolis.org.uk/people/Bernard+Gallagher,http://dbpedia.org/resource/Bernard_Gallagher
http://shakespeare.acropolis.org.uk/people/Amita+Dhiri,http://dbpedia.org/resource/Amita_Dhiri
http://shakespeare.acropolis.org.uk/people/Margaret+Tyzack,http://dbpedia.org/resource/Margaret_Tyzack
http://shakespeare.acropolis.org.uk/people/Bill+Nighy,http://dbpedia.org/resource/Bill_Nighy
http://shakespeare.acropolis.org.uk/people/Alex+Jennings,http://dbpedia.org/resource/Alex_Jennings
http://shakespeare.acropolis.org.uk/people/Andrew+Cruickshank,http://dbpedia.org/resource/Andrew_Cruickshank
http://shakespeare.acropolis.org.uk/people/Roy+Hattersley,http://dbpedia.org/resource/Roy_Hattersley
http://shakespeare.acropolis.org.uk/people/Peter+Baldwin,http://dbpedia.org/resource/Peter_Baldwin_(actor)
http://shakespeare.acropolis.org.uk/people/Ian+Richardson,http://dbpedia.org/resource/Ian_Richardson
http://shakespeare.acropolis.org.uk/people/Martin+Reeve,http://dbpedia.org/resource/Martin_Reeve
http://shakespeare.acropolis.org.uk/people/Frances+Barber,http://dbpedia.org/resource/Frances_Barber
http://dbpedia.org/resource/Richard_Johnson_(actor),http://shakespeare.acropolis.org.uk/people/Richard+Johnson
http://shakespeare.acropolis.org.uk/people/Ernest+Hare,http://dbpedia.org/resource/Ernest_Hare
http://shakespeare.acropolis.org.uk/people/Donald+Burton,http://dbpedia.org/resource/Donald_Burton
http://shakespeare.acropolis.org.uk/people/Philip+Whitchurch,http://dbpedia.org/resource/Philip_Whitchurch
http://shakespeare.acropolis.org.uk/people/Andy+Hockley,http://dbpedia.org/resource/Andy_Hockley
http://dbpedia.org/resource/Patrick_Stewart,http://shakespeare.acropolis.org.uk/people/Patrick+Stewart
http://shakespeare.acropolis.org.uk/people/Frank+Atkinson,http://dbpedia.org/resource/Frank_Atkinson_(actor)
http://shakespeare.acropolis.org.uk/people/Graham+Chapman,http://dbpedia.org/resource/Graham_Chapman
http://shakespeare.acropolis.org.uk/people/Damien+Thomas,http://dbpedia.org/resource/Damien_Thomas
http://shakespeare.acropolis.org.uk/people/Petra+Davies,http://dbpedia.org/resource/Petra_Davies
http://shakespeare.acropolis.org.uk/people/Meryl+Streep,http://dbpedia.org/resource/Meryl_Streep
http://shakespeare.acropolis.org.uk/people/Clive+Merrison,http://dbpedia.org/resource/Clive_Merrison
http://shakespeare.acropolis.org.uk/people/Stanley+Wells,http://dbpedia.org/resource/Stanley_Wells
http://shakespeare.acropolis.org.uk/people/David+Horne,http://dbpedia.org/resource/David_Horne_(actor)
http://shakespeare.acropolis.org.uk/people/Bill+Fraser,http://dbpedia.org/resource/Bill_Fraser
http://shakespeare.acropolis.org.uk/people/Christopher+Walken,http://dbpedia.org/resource/Christopher_Walken
http://shakespeare.acropolis.org.uk/people/Geraldine+McEwan,http://dbpedia.org/resource/Geraldine_McEwan
http://shakespeare.acropolis.org.uk/people/Jeff+Hordley,http://dbpedia.org/resource/Jeff_Hordley
http://shakespeare.acropolis.org.uk/people/Nigel+Anthony,http://dbpedia.org/resource/Nigel_Anthony
http://shakespeare.acropolis.org.uk/people/Ralph+Michael,http://dbpedia.org/resource/Ralph_Michael
