name,uri
Andrew Bethell,http://shakespeare.acropolis.org.uk/people/Andrew+Bethell
Andrew Bradford,http://shakespeare.acropolis.org.uk/people/Andrew+Bradford
Andrew Branch,http://shakespeare.acropolis.org.uk/people/Andrew+Branch
Andrew Burt,http://dbpedia.org/resource/Andrew_Burt
Andrew Crawford,http://shakespeare.acropolis.org.uk/people/Andrew+Crawford
Andrew Cruickshank,http://shakespeare.acropolis.org.uk/people/Andrew+Cruickshank
Andrew Faulds,http://shakespeare.acropolis.org.uk/people/Andrew+Faulds
Andrew French,http://shakespeare.acropolis.org.uk/people/Andrew+French
Andrew Grubb,http://shakespeare.acropolis.org.uk/people/Andrew+Grubb
Andrew Harding,http://shakespeare.acropolis.org.uk/people/Andrew+Harding
Andrew Hilton,http://shakespeare.acropolis.org.uk/people/Andrew+Hilton
Andrew Jarvis,http://shakespeare.acropolis.org.uk/people/Andrew+Jarvis
Andrew Keir,http://dbpedia.org/resource/Andrew_Keir
Andrew Kyriakides,http://shakespeare.acropolis.org.uk/people/Andrew+Kyriakides
Andrew Lodge,http://shakespeare.acropolis.org.uk/people/Andrew+Lodge
Andrew MacLachlan,http://shakespeare.acropolis.org.uk/people/Andrew+MacLachlan
Andrew Manson,http://shakespeare.acropolis.org.uk/people/Andrew+Manson
Andrew McAllister,http://shakespeare.acropolis.org.uk/people/Andrew+McAllister
Andrew Murray,http://shakespeare.acropolis.org.uk/people/Andrew+Murray
Andrew Rivers,http://shakespeare.acropolis.org.uk/people/Andrew+Rivers
Andrew Sachs,http://dbpedia.org/resource/Andrew_Sachs
Andrew Scott ,http://dbpedia.org/resource/Andrew_Scott_(actor)
Andrew Snell,http://shakespeare.acropolis.org.uk/people/Andrew+Snell
Andrew Tiernan,http://shakespeare.acropolis.org.uk/people/Andrew+Tiernan
Andrew White,http://shakespeare.acropolis.org.uk/people/Andrew+White
Andrew Whitehead,http://shakespeare.acropolis.org.uk/people/Andrew+Whitehead
Andrew Wincott,http://shakespeare.acropolis.org.uk/people/Andrew+Wincott
Andy Cryer,http://shakespeare.acropolis.org.uk/people/Andy+Cryer
Andy Hockley,http://shakespeare.acropolis.org.uk/people/Andy+Hockley
Andy Livingston,http://shakespeare.acropolis.org.uk/people/Andy+Livingston
Andy Picheta,http://shakespeare.acropolis.org.uk/people/Andy+Picheta
Andy Wear,http://shakespeare.acropolis.org.uk/people/Andy+Wear
Andy Williams,http://shakespeare.acropolis.org.uk/people/Andy+Williams
Angela Baddeley,http://dbpedia.org/resource/Angela_Baddeley
Angela Crow,http://shakespeare.acropolis.org.uk/people/Angela+Crow
Angela Down,http://dbpedia.org/resource/Angela_Down
Angela Flanders,http://shakespeare.acropolis.org.uk/people/Angela+Flanders
Angela Pleasence,http://shakespeare.acropolis.org.uk/people/Angela+Pleasence
Angela Thorne,http://shakespeare.acropolis.org.uk/people/Angela+Thorne
Angharad Rees,http://dbpedia.org/resource/Angharad_Rees
Angus Kennedy ,http://dbpedia.org/resource/Angus_Kennedy_(actor)
Angus Lennie,http://dbpedia.org/resource/Angus_Lennie
Ania Marson,http://shakespeare.acropolis.org.uk/people/Ania+Marson
Ann Bell,http://shakespeare.acropolis.org.uk/people/Ann+Bell
Ann Castle,http://shakespeare.acropolis.org.uk/people/Ann+Castle
Ann Henderson,http://shakespeare.acropolis.org.uk/people/Ann+Henderson
Ann Hummel,http://shakespeare.acropolis.org.uk/people/Ann+Hummel
Ann Pennington,http://dbpedia.org/resource/Ann_Pennington_(actress)
Ann Rayment,http://shakespeare.acropolis.org.uk/people/Ann+Rayment
Anna Ailes-Stevenson,http://shakespeare.acropolis.org.uk/people/Anna+Ailes-Stevenson
Anna Barry,http://shakespeare.acropolis.org.uk/people/Anna+Barry
Anna Calder-Marshall,http://dbpedia.org/resource/Anna_Calder-Marshall
Anna Carteret,http://shakespeare.acropolis.org.uk/people/Anna+Carteret
Anna Chancellor,http://shakespeare.acropolis.org.uk/people/Anna+Chancellor
Anna Friel,http://shakespeare.acropolis.org.uk/people/Anna+Friel
Anna Hope,http://shakespeare.acropolis.org.uk/people/Anna+Hope
Anna Marson,http://shakespeare.acropolis.org.uk/people/Anna+Marson
Anna Massey,http://shakespeare.acropolis.org.uk/people/Anna+Massey
Anna Quayle,http://dbpedia.org/resource/Anna_Quayle
Anne Brogan,http://shakespeare.acropolis.org.uk/people/Anne+Brogan
Anne Carroll,http://shakespeare.acropolis.org.uk/people/Anne+Carroll
Anne Cumming,http://shakespeare.acropolis.org.uk/people/Anne+Cumming
Anne Dyson,http://shakespeare.acropolis.org.uk/people/Anne+Dyson
Anne Jameson,http://shakespeare.acropolis.org.uk/people/Anne+Jameson
Anne Ross Muir,http://shakespeare.acropolis.org.uk/people/Anne+Ross+Muir
Anne Sopel,http://shakespeare.acropolis.org.uk/people/Anne+Sopel
Anne Stallybrass,http://shakespeare.acropolis.org.uk/people/Anne+Stallybrass
Anne-Marie Duff,http://shakespeare.acropolis.org.uk/people/Anne-Marie+Duff
Anne-Marie Horan,http://shakespeare.acropolis.org.uk/people/Anne-Marie+Horan
Annette Crosbie,http://dbpedia.org/resource/Annette_Crosbie
Annie Bardon Lay,http://shakespeare.acropolis.org.uk/people/Annie+Bardon+Lay
Annie Castledine,http://shakespeare.acropolis.org.uk/people/Annie+Castledine
Anthea Gomez,http://shakespeare.acropolis.org.uk/people/Anthea+Gomez
Anthony Ainsworth,http://shakespeare.acropolis.org.uk/people/Anthony+Ainsworth
Anthony Andrews,http://dbpedia.org/resource/Anthony_Andrews
Anthony Bate,http://shakespeare.acropolis.org.uk/people/Anthony+Bate
Anthony Bernard,http://shakespeare.acropolis.org.uk/people/Anthony+Bernard
Anthony Boden,http://shakespeare.acropolis.org.uk/people/Anthony+Boden
Anthony Brown,http://shakespeare.acropolis.org.uk/people/Anthony+Brown
Anthony Daniels,http://shakespeare.acropolis.org.uk/people/Anthony+Daniels
Anthony Dawes,http://shakespeare.acropolis.org.uk/people/Anthony+Dawes
Anthony Glennon,http://shakespeare.acropolis.org.uk/people/Anthony+Glennon
Anthony Hall,http://shakespeare.acropolis.org.uk/people/Anthony+Hall
Anthony Hawtrey,http://dbpedia.org/resource/Anthony_Hawtrey
Anthony Hopkins,http://dbpedia.org/resource/Anthony_Hopkins
Anthony Hyde,http://shakespeare.acropolis.org.uk/people/Anthony+Hyde
Anthony Ireland,http://dbpedia.org/resource/Anthony_Ireland_(actor)
Anthony Jackson ,http://dbpedia.org/resource/Anthony_Jackson_(actor)
Anthony Jacobs,http://shakespeare.acropolis.org.uk/people/Anthony+Jacobs
Anthony Newlands,http://shakespeare.acropolis.org.uk/people/Anthony+Newlands
Anthony Nicholls ,http://dbpedia.org/resource/Anthony_Nicholls_(actor)
Anthony O'Donnell,http://shakespeare.acropolis.org.uk/people/Anthony+O+Donnell
Anthony Pedley,http://shakespeare.acropolis.org.uk/people/Anthony+Pedley
Anthony Powell,http://shakespeare.acropolis.org.uk/people/Anthony+Powell
Anthony Quayle,http://dbpedia.org/resource/Anthony_Quayle
Anthony Renshaw,http://shakespeare.acropolis.org.uk/people/Anthony+Renshaw
Anthony Rooley,http://shakespeare.acropolis.org.uk/people/Anthony+Rooley
Anthony Smee,http://shakespeare.acropolis.org.uk/people/Anthony+Smee
Anthony Valentine,http://shakespeare.acropolis.org.uk/people/Anthony+Valentine
Anthony Vogel,http://shakespeare.acropolis.org.uk/people/Anthony+Vogel
Anton Lesser,http://dbpedia.org/resource/Anton_Lesser
Anton Rodgers,http://shakespeare.acropolis.org.uk/people/Anton+Rodgers
Antonia Benedex,http://shakespeare.acropolis.org.uk/people/Antonia+Benedex
Antonin Stahly Viswanadhan,http://shakespeare.acropolis.org.uk/people/Antonin+Stahly+Viswanadhan
Antony Brown,http://shakespeare.acropolis.org.uk/people/Antony+Brown
Antony Byrne,http://shakespeare.acropolis.org.uk/people/Antony+Byrne
Antony Higginson,http://shakespeare.acropolis.org.uk/people/Antony+Higginson
Antony Jay,http://shakespeare.acropolis.org.uk/people/Antony+Jay
Antony Keaney,http://shakespeare.acropolis.org.uk/people/Antony+Keaney
Antony Sharp,http://shakespeare.acropolis.org.uk/people/Antony+Sharp
Antony Viccars,http://shakespeare.acropolis.org.uk/people/Antony+Viccars
Arabella Weir,http://shakespeare.acropolis.org.uk/people/Arabella+Weir
Archie Duncan,http://dbpedia.org/resource/Archie_Duncan_(actor)
Arnold Diamond,http://shakespeare.acropolis.org.uk/people/Arnold+Diamond
Arnold Yarrow,http://shakespeare.acropolis.org.uk/people/Arnold+Yarrow
Arthur Blake,http://shakespeare.acropolis.org.uk/people/Arthur+Blake
Arthur Bliss,http://shakespeare.acropolis.org.uk/people/Arthur+Bliss
Arthur Bush,http://shakespeare.acropolis.org.uk/people/Arthur+Bush
Arthur Cox,http://dbpedia.org/resource/Arthur_Cox_(actor)
Arthur Hanket,http://shakespeare.acropolis.org.uk/people/Arthur+Hanket
Arthur Hewlett,http://dbpedia.org/resource/Arthur_Hewlett
Arthur Lawrence,http://shakespeare.acropolis.org.uk/people/Arthur+Lawrence
Arthur Lowe,http://dbpedia.org/resource/Arthur_Lowe
Arthur Ridley,http://shakespeare.acropolis.org.uk/people/Arthur+Ridley
Arthur Skinner,http://shakespeare.acropolis.org.uk/people/Arthur+Skinner
Arthur Sweet,http://shakespeare.acropolis.org.uk/people/Arthur+Sweet
Arthur Wontner,http://dbpedia.org/resource/Arthur_Wontner
Arturo Annecchino,http://shakespeare.acropolis.org.uk/people/Arturo+Annecchino
Arwel Gruffydd,http://shakespeare.acropolis.org.uk/people/Arwel+Gruffydd
Ashley Artus,http://shakespeare.acropolis.org.uk/people/Ashley+Artus
Ashley James Orwin,http://shakespeare.acropolis.org.uk/people/Ashley+James+Orwin
Asil Rais,http://shakespeare.acropolis.org.uk/people/Asil+Rais
Asta Nielsen,http://shakespeare.acropolis.org.uk/people/Asta+Nielsen
Atia Habibullah,http://shakespeare.acropolis.org.uk/people/Atia+Habibullah
Atiq Ahmad,http://shakespeare.acropolis.org.uk/people/Atiq+Ahmad
Attia Habibullah,http://shakespeare.acropolis.org.uk/people/Attia+Habibullah
Aubrey Woods,http://shakespeare.acropolis.org.uk/people/Aubrey+Woods
Audrey Noble,http://shakespeare.acropolis.org.uk/people/Audrey+Noble
Austin Trevor,http://shakespeare.acropolis.org.uk/people/Austin+Trevor
Avi Nassa,http://shakespeare.acropolis.org.uk/people/Avi+Nassa
Ayesha Antoine,http://shakespeare.acropolis.org.uk/people/Ayesha+Antoine
Ayre Gross,http://shakespeare.acropolis.org.uk/people/Ayre+Gross
Baliol Holloway,http://shakespeare.acropolis.org.uk/people/Baliol+Holloway
Bamber Gascoigne,http://shakespeare.acropolis.org.uk/people/Bamber+Gascoigne
Barbara Barnett,http://shakespeare.acropolis.org.uk/people/Barbara+Barnett
Barbara Bolton,http://shakespeare.acropolis.org.uk/people/Barbara+Bolton
Barbara Burnham,http://www.wikidata.org/entity/Q2883912
Barbara Crowther,http://shakespeare.acropolis.org.uk/people/Barbara+Crowther
Barbara Derkow,http://shakespeare.acropolis.org.uk/people/Barbara+Derkow
Barbara Flynn,http://dbpedia.org/resource/Barbara_Flynn
Barbara Gosnold,http://shakespeare.acropolis.org.uk/people/Barbara+Gosnold
Barbara Grimes,http://shakespeare.acropolis.org.uk/people/Barbara+Grimes
Barbara Jefford,http://dbpedia.org/resource/Barbara_Jefford
Barbara Kellerman,http://dbpedia.org/resource/Barbara_Kellerman
Barbara Kellermann,http://shakespeare.acropolis.org.uk/people/Barbara+Kellermann
Barbara Kronig,http://shakespeare.acropolis.org.uk/people/Barbara+Kronig
Barbara Leigh-Hunt,http://shakespeare.acropolis.org.uk/people/Barbara+Leigh-Hunt
Barbara Lott,http://dbpedia.org/resource/Barbara_Lott
Barbara Mitchell,http://shakespeare.acropolis.org.uk/people/Barbara+Mitchell
Barbara Rhoades,http://shakespeare.acropolis.org.uk/people/Barbara+Rhoades
Barrie Houghton,http://shakespeare.acropolis.org.uk/people/Barrie+Houghton
Barrie Keefe,http://shakespeare.acropolis.org.uk/people/Barrie+Keefe
Barrie Rutter,http://shakespeare.acropolis.org.uk/people/Barrie+Rutter
Barrington Pheloung,http://shakespeare.acropolis.org.uk/people/Barrington+Pheloung
Barry Foster,http://shakespeare.acropolis.org.uk/people/Barry+Foster
Barry Grantham,http://shakespeare.acropolis.org.uk/people/Barry+Grantham
Barry Holden,http://shakespeare.acropolis.org.uk/people/Barry+Holden
Barry Jackson ,http://dbpedia.org/resource/Barry_Jackson_(actor)
Barry Jones,http://shakespeare.acropolis.org.uk/people/Barry+Jones
Barry Learoyd,http://shakespeare.acropolis.org.uk/people/Barry+Learoyd
Barry Lowe,http://shakespeare.acropolis.org.uk/people/Barry+Lowe
Barry Lynch,http://shakespeare.acropolis.org.uk/people/Barry+Lynch
Barry MacGregor,http://shakespeare.acropolis.org.uk/people/Barry+MacGregor
Barry Newberry,http://shakespeare.acropolis.org.uk/people/Barry+Newberry
Barry Stanton,http://shakespeare.acropolis.org.uk/people/Barry+Stanton
Barry Ward ,http://dbpedia.org/resource/Barry_Ward_(actor)
Basil Coleman,http://shakespeare.acropolis.org.uk/people/Basil+Coleman
Basil Cunard,http://shakespeare.acropolis.org.uk/people/Basil+Cunard
Basil Hoskins,http://shakespeare.acropolis.org.uk/people/Basil+Hoskins
Basil Jones,http://shakespeare.acropolis.org.uk/people/Basil+Jones
Basil Langton,http://shakespeare.acropolis.org.uk/people/Basil+Langton
Beatrix Lehmann,http://dbpedia.org/resource/Beatrix_Lehmann
Becky Simpson,http://shakespeare.acropolis.org.uk/people/Becky+Simpson
Bella,http://shakespeare.acropolis.org.uk/people/Bella
Ben Crompton,http://shakespeare.acropolis.org.uk/people/Ben+Crompton
Ben Crowe,http://shakespeare.acropolis.org.uk/people/Ben+Crowe
Ben Elton,http://shakespeare.acropolis.org.uk/people/Ben+Elton
Ben Evans,http://shakespeare.acropolis.org.uk/people/Ben+Evans
Ben Kingsley,http://dbpedia.org/resource/Ben_Kingsley
Ben Losh,http://shakespeare.acropolis.org.uk/people/Ben+Losh
Ben Mars,http://shakespeare.acropolis.org.uk/people/Ben+Mars
Ben Miles,http://shakespeare.acropolis.org.uk/people/Ben+Miles
Ben Onwukwe,http://shakespeare.acropolis.org.uk/people/Ben+Onwukwe
Benard Jamieson,http://shakespeare.acropolis.org.uk/people/Benard+Jamieson
Benjamin Pierce Higgins,http://shakespeare.acropolis.org.uk/people/Benjamin+Pierce+Higgins
Benjamin Whitrow,http://shakespeare.acropolis.org.uk/people/Benjamin+Whitrow
Benjamin Zephaniah,http://shakespeare.acropolis.org.uk/people/Benjamin+Zephaniah
Bernadette Jane Vanderkar,http://shakespeare.acropolis.org.uk/people/Bernadette+Jane+Vanderkar
Bernard Adams,http://shakespeare.acropolis.org.uk/people/Bernard+Adams
Bernard Archard,http://shakespeare.acropolis.org.uk/people/Bernard+Archard
Bernard Bresslaw,http://shakespeare.acropolis.org.uk/people/Bernard+Bresslaw
Bernard Brown,http://shakespeare.acropolis.org.uk/people/Bernard+Brown
Bernard Cribbins,http://shakespeare.acropolis.org.uk/people/Bernard+Cribbins
Bernard Finch,http://shakespeare.acropolis.org.uk/people/Bernard+Finch
Bernard Gallagher,http://shakespeare.acropolis.org.uk/people/Bernard+Gallagher
Bernard Hepton,http://shakespeare.acropolis.org.uk/people/Bernard+Hepton
Bernard Hill,http://dbpedia.org/resource/Bernard_Hill
Bernard Lloyd,http://shakespeare.acropolis.org.uk/people/Bernard+Lloyd
Bernard Taylor,http://shakespeare.acropolis.org.uk/people/Bernard+Taylor
Beryl Reid,http://dbpedia.org/resource/Beryl_Reid
Beth Boyd,http://shakespeare.acropolis.org.uk/people/Beth+Boyd
Betsy Blair,http://shakespeare.acropolis.org.uk/people/Betsy+Blair
Betty Huntley-Wright,http://dbpedia.org/resource/Betty_Huntley-Wright
Bev Willis,http://shakespeare.acropolis.org.uk/people/Bev+Willis
Bill Alexander,http://shakespeare.acropolis.org.uk/people/Bill+Alexander
Bill Badley,http://shakespeare.acropolis.org.uk/people/Bill+Badley
Bill Bailey,http://shakespeare.acropolis.org.uk/people/Bill+Bailey
Bill Fellows,http://shakespeare.acropolis.org.uk/people/Bill+Fellows
Bill Fraser,http://shakespeare.acropolis.org.uk/people/Bill+Fraser
Bill Hepper,http://shakespeare.acropolis.org.uk/people/Bill+Hepper
Bill Homewood,http://shakespeare.acropolis.org.uk/people/Bill+Homewood
Bill Nighy,http://shakespeare.acropolis.org.uk/people/Bill+Nighy
Bill Owen,http://shakespeare.acropolis.org.uk/people/Bill+Owen
Bill Paterson,http://dbpedia.org/resource/Bill_Paterson_(actor)
Bill Russell,http://shakespeare.acropolis.org.uk/people/Bill+Russell
Bill Stewart,http://shakespeare.acropolis.org.uk/people/Bill+Stewart
Bill Wallis,http://shakespeare.acropolis.org.uk/people/Bill+Wallis
Billie Piper,http://dbpedia.org/resource/Billie_Piper
Billie Sinclair,http://shakespeare.acropolis.org.uk/people/Billie+Sinclair
Billie Whitelaw,http://shakespeare.acropolis.org.uk/people/Billie+Whitelaw
Billy Connolly,http://shakespeare.acropolis.org.uk/people/Billy+Connolly
Billy Cowie,http://shakespeare.acropolis.org.uk/people/Billy+Cowie
Bob Bentley,http://shakespeare.acropolis.org.uk/people/Bob+Bentley
Bob Carlton,http://shakespeare.acropolis.org.uk/people/Bob+Carlton
Bob Crowley,http://shakespeare.acropolis.org.uk/people/Bob+Crowley
Bob Hoskins,http://dbpedia.org/resource/Bob_Hoskins
Bob Jackson,http://shakespeare.acropolis.org.uk/people/Bob+Jackson
Bob Peck,http://dbpedia.org/resource/Bob_Peck
Bob Wellings,http://shakespeare.acropolis.org.uk/people/Bob+Wellings
Bonnie Bedelia,http://shakespeare.acropolis.org.uk/people/Bonnie+Bedelia
Bonnie Hurren,http://shakespeare.acropolis.org.uk/people/Bonnie+Hurren
Brenda Blethyn,http://dbpedia.org/resource/Brenda_Blethyn
Brenda Bruce,http://dbpedia.org/resource/Brenda_Bruce
Brenda Duncan,http://shakespeare.acropolis.org.uk/people/Brenda+Duncan
Brendan Charleson,http://shakespeare.acropolis.org.uk/people/Brendan+Charleson
Brendan Kennelly,http://shakespeare.acropolis.org.uk/people/Brendan+Kennelly
Brett,http://shakespeare.acropolis.org.uk/people/Brett
Brett Usher,http://shakespeare.acropolis.org.uk/people/Brett+Usher
Brewster Mason,http://shakespeare.acropolis.org.uk/people/Brewster+Mason
