Programme Number,Cast or Crew?,Person/Group Name,Role,Person/Group URI
LDPD735R,cast,Zoe Wanamaker,Lady Anne,http://shakespeare.acropolis.org.uk/people/Martin+Rutledge
LDPD735R,cast,Mark Wing-Davey,Sir James Tyrrel,http://dbpedia.org/resource/Mark_Wing-Davey
LDPD735R,cast,Peter Wyatt,Duke of Norfolk,http://shakespeare.acropolis.org.uk/people/Peter+Wyatt
LDPD736K,cast,Peter Aldwyn,Second Company,http://shakespeare.acropolis.org.uk/people/Peter+Aldwyn
LDPD736K,cast,John Alford,Master Gunner's Boy,http://dbpedia.org/resource/Mark_Wing-Davey
LDPD736K,cast,Sean Bartley,Second Company,http://shakespeare.acropolis.org.uk/people/Sean+Bartley
LDPD736K,cast,John Benfield,Basset,http://dbpedia.org/resource/John_Benfield
LDPD736K,cast,John Benfield,French Sergeant,http://dbpedia.org/resource/John_Benfield
LDPD736K,cast,Peter Benson,King Henry VI,http://dbpedia.org/resource/Peter_Benson_(actor)
LDPD736K,cast,Brian Binns,Second Company,http://shakespeare.acropolis.org.uk/people/Brian+Binns
LDPD736K,cast,Gerald Blackmore,Second Company,http://shakespeare.acropolis.org.uk/people/Gerald+Blackmore
LDPD736K,cast,Brenda Blethyn,Joan La Pucelle,http://dbpedia.org/resource/Brenda_Blethyn
LDPD736K,cast,Stephen Brigden,Second Company,http://shakespeare.acropolis.org.uk/people/Stephen+Brigden
LDPD736K,cast,Anthony Brown,Duke of Burgundy,http://shakespeare.acropolis.org.uk/people/Anthony+Brown
LDPD736K,cast,David Burke,Duke of Gloucester,http://dbpedia.org/resource/David_Burke_(British_actor)
LDPD736K,cast,Michael Byrne,Duke of Alencon,http://dbpedia.org/resource/Michael_Byrne_(actor)
LDPD736K,cast,Paul Chapman,Earl of Suffolk,http://dbpedia.org/resource/Paul_Chapman_(actor)
LDPD736K,cast,Michael Cogan,Second Company,http://shakespeare.acropolis.org.uk/people/Michael+Cogan
LDPD736K,cast,Ron Cook,Third Messinger to the King,http://dbpedia.org/resource/Ron_Cook
LDPD736K,cast,Ron Cook,Countess' Porter,http://dbpedia.org/resource/Ron_Cook
LDPD736K,cast,Arthur Cox,Mayor of London,http://dbpedia.org/resource/Arthur_Cox_(actor)
LDPD736K,cast,Arthur Cox,Sir John Fastolfe,http://dbpedia.org/resource/Arthur_Cox_(actor)
LDPD736K,cast,Stuart Cox,Second Company,http://shakespeare.acropolis.org.uk/people/Stuart+Cox
LDPD736K,cast,Philip Croskin,Second Company,http://shakespeare.acropolis.org.uk/people/Philip+Croskin
LDPD736K,cast,David Daker,"Reigner, Duke of Anjou",http://dbpedia.org/resource/David_Daker
LDPD736K,cast,David Daker,Vernon,http://dbpedia.org/resource/David_Daker
LDPD736K,cast,Brian Deacon,Earl of Somerset,http://dbpedia.org/resource/Brian_Deacon
LDPD736K,cast,Jonathan Evans,Second Company,http://shakespeare.acropolis.org.uk/people/Jonathan+Evans
LDPD736K,cast,Tenniel Evans,Duke of Bedford,http://dbpedia.org/resource/Tenniel_Evans
LDPD736K,cast,Tenniel Evans,"Mortimer, Earl of March",http://dbpedia.org/resource/Tenniel_Evans
LDPD736K,cast,Tenniel Evans,French General,http://dbpedia.org/resource/Tenniel_Evans
LDPD736K,cast,Derek Farr,Earl of Salisbury,http://dbpedia.org/resource/Derek_Farr
LDPD736K,cast,Derek Farr,Sir William Lucy,http://dbpedia.org/resource/Derek_Farr
LDPD736K,cast,Simon Ferguson,Musician,http://shakespeare.acropolis.org.uk/people/Simon+Ferguson
LDPD736K,cast,Mark Fletcher,Second Company,http://shakespeare.acropolis.org.uk/people/Mark+Fletcher
LDPD736K,cast,Julia Foster,"Margaret, Daughter of Reignier",http://dbpedia.org/resource/Julia_Foster
LDPD736K,cast,Derek Fuke,Talbot's Captain,http://shakespeare.acropolis.org.uk/people/Derek+Fuke
LDPD736K,cast,Derek Fuke,Gloucester's Servant,http://shakespeare.acropolis.org.uk/people/Derek+Fuke
LDPD736K,cast,Michael Gardiner,Second Company,http://shakespeare.acropolis.org.uk/people/Michael+Gardiner
LDPD736K,cast,Martin George,Second Company,http://shakespeare.acropolis.org.uk/people/Martin+George
LDPD736K,cast,David Goodwin,Second Company,http://dbpedia.org/resource/Dave_Goodwin
LDPD736K,cast,Barry Grantham,Second Company,http://shakespeare.acropolis.org.uk/people/Barry+Grantham
LDPD736K,cast,Alex Guard,Young John Talbot,http://shakespeare.acropolis.org.uk/people/Alex+Guard
LDPD736K,cast,Nick Hall,Second Company,http://shakespeare.acropolis.org.uk/people/Nick+Hall
LDPD736K,cast,Bernard Hill,Duke of York,http://dbpedia.org/resource/Bernard_Hill
LDPD736K,cast,Bernard Hill,Master Gunner Of Orleans,http://dbpedia.org/resource/Bernard_Hill
LDPD736K,cast,Derek Holt,Second Company,http://shakespeare.acropolis.org.uk/people/Derek+Holt
LDPD736K,cast,Paul Jesson,Second Messenger to the King,http://dbpedia.org/resource/Paul_Jesson
LDPD736K,cast,Angus Kennedy,Second Company,http://dbpedia.org/resource/Bernard_Hill
LDPD736K,cast,Hamish Kerr,Second Company,http://shakespeare.acropolis.org.uk/people/Hamish+Kerr
LDPD736K,cast,Hus Levant,Second Company,http://shakespeare.acropolis.org.uk/people/Hus+Levant
LDPD736K,cast,Brian Little,Musician,http://shakespeare.acropolis.org.uk/people/Brian+Little
LDPD736K,cast,David Ludwig,Second Company,http://shakespeare.acropolis.org.uk/people/David+Ludwig
LDPD736K,cast,Ian Mackintosh,Musician,http://shakespeare.acropolis.org.uk/people/Ian+Mackintosh
LDPD736K,cast,Peter Macklin,Second Company,http://shakespeare.acropolis.org.uk/people/Peter+Macklin
LDPD736K,cast,Oengus MacNamara,Messenger,http://shakespeare.acropolis.org.uk/people/Oengus+MacNamara
LDPD736K,cast,Oengus MacNamara,Second Serving Man,http://shakespeare.acropolis.org.uk/people/Oengus+MacNamara
LDPD736K,cast,Joanna McCallum,Countess d'Auvergne,http://dbpedia.org/resource/Joanna_McCallum
LDPD736K,cast,Frank Middlemass,Cardinal Beaufort,http://dbpedia.org/resource/Frank_Middlemass
LDPD736K,cast,Joseph O'Conor,Duke of Exeter,http://shakespeare.acropolis.org.uk/people/Joseph+O'Conor
LDPD736K,cast,Joseph O'Conor,Shepherd,http://shakespeare.acropolis.org.uk/people/Joseph+O'Conor
LDPD736K,cast,Trevor Peacock,Lord Talbot,http://dbpedia.org/resource/Trevor_Peacock
LDPD736K,cast,Brian Protheroe,Bastard of Orl̩ans,http://dbpedia.org/resource/Brian_Protheroe
LDPD736K,cast,David Pugh,Mayor's Officer,http://shakespeare.acropolis.org.uk/people/David+Pugh
LDPD736K,cast,David Pugh,Watchman of Rouen,http://shakespeare.acropolis.org.uk/people/David+Pugh
LDPD736K,cast,John Rankin,Second Company,http://shakespeare.acropolis.org.uk/people/John+Rankin
LDPD736K,cast,Nick Reding,Keeper,http://dbpedia.org/resource/Nick_Reding_(actor)
LDPD736K,cast,Martin Rutledge,Second Company,http://shakespeare.acropolis.org.uk/people/Martin+Rutledge
LDPD736K,cast,Ian Saynor,Charles the Dauphin,http://dbpedia.org/resource/Ian_Saynor
LDPD736K,cast,Peter Searles,Second Company,http://shakespeare.acropolis.org.uk/people/Peter+Searles
LDPD736K,cast,David Stacey,Second Company,http://shakespeare.acropolis.org.uk/people/David+Stacey
LDPD736K,cast,Brian Stephens,Second Company,http://shakespeare.acropolis.org.uk/people/Brian+Stephens
LDPD736K,cast,Philip Stevenson,Musician,http://shakespeare.acropolis.org.uk/people/Philip+Stevenson
LDPD736K,cast,Dikran Tulaine,Second Company,http://shakespeare.acropolis.org.uk/people/Dikran+Tulaine
LDPD736K,cast,Alan Vicars,Second Company,http://shakespeare.acropolis.org.uk/people/Alan+Vicars
LDPD736K,cast,Mark Wing-Davey,Earl of Warwick,http://dbpedia.org/resource/Mark_Wing-Davey
LDPD736K,cast,Peter Wyatt,"Woodville, Lieutenant of the Tower",http://shakespeare.acropolis.org.uk/people/Peter+Wyatt
LDPD737E,cast,Peter Aldwyn,Second Company,http://shakespeare.acropolis.org.uk/people/Peter+Aldwyn
LDPD737E,cast,Sean Bartley,Second Company,http://shakespeare.acropolis.org.uk/people/Sean+Bartley
LDPD737E,cast,John Benfield,First Murderer,http://dbpedia.org/resource/John_Benfield
LDPD737E,cast,John Benfield,Ship's Master,http://dbpedia.org/resource/John_Benfield
LDPD737E,cast,Peter Benson,King Henry VI,http://dbpedia.org/resource/Peter_Benson_(actor)
LDPD737E,cast,Paul Benzing,Second Company,http://shakespeare.acropolis.org.uk/people/Paul+Benzing
LDPD737E,cast,Brian Binns,Second Company,http://shakespeare.acropolis.org.uk/people/Brian+Binns
LDPD737E,cast,Gerald Blackmore,Second Company,http://shakespeare.acropolis.org.uk/people/Gerald+Blackmore
LDPD737E,cast,Stephen Brigden,Second Company,http://shakespeare.acropolis.org.uk/people/Stephen+Brigden
LDPD737E,cast,Gerald Broadley,Drummer,http://shakespeare.acropolis.org.uk/people/Gerald+Broadley
LDPD737E,cast,Antony Brown,Walter Whitmore,http://shakespeare.acropolis.org.uk/people/Antony+Brown
LDPD737E,cast,Antony Brown,Alexander Iden,http://shakespeare.acropolis.org.uk/people/Antony+Brown
LDPD737E,cast,David Burke,Duke of Gloucester,http://dbpedia.org/resource/David_Burke_(British_actor)
LDPD737E,cast,David Burke,Dick the Butcher,http://dbpedia.org/resource/David_Burke_(British_actor)
LDPD737E,cast,Michael Byrne,John Hume,http://dbpedia.org/resource/Michael_Byrne_(actor)
LDPD737E,cast,Michael Byrne,Lieutenant,http://dbpedia.org/resource/Michael_Byrne_(actor)
LDPD737E,cast,Anne Carroll,Duchess of Gloucester,http://shakespeare.acropolis.org.uk/people/Anne+Carroll
LDPD737E,cast,Mark Lindsay Chapman,Second Company,http://dbpedia.org/resource/Mark_Lindsay_Chapman
LDPD737E,cast,Paul Chapman,Duke of Suffolk,http://dbpedia.org/resource/Paul_Chapman_(actor)
LDPD737E,cast,Michael Cogan,Second Company,http://shakespeare.acropolis.org.uk/people/Michael+Cogan
LDPD737E,cast,Ron Cook,Richard Plantagenet,http://dbpedia.org/resource/Ron_Cook
